Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
1/9/2024 7:00,618 W,175 W,292 W,151 W
1/9/2024 8:00,764 W,174 W,479 W,111 W
1/9/2024 9:00,686 W,168 W,415 W,103 W
1/9/2024 10:00,"1,330 W",488 W,480 W,362 W
1/9/2024 11:00,"1,219 W",148 W,692 W,379 W
1/9/2024 12:00,"1,327 W",298 W,685 W,344 W
1/9/2024 13:00,"2,520 W",500 W,"1,673 W",347 W
1/9/2024 14:00,"1,195 W",206 W,643 W,346 W
1/9/2024 15:00,524 W,118 W,302 W,104 W
1/9/2024 16:00,667 W,214 W,348 W,105 W
1/9/2024 17:00,671 W,217 W,323 W,131 W
1/9/2024 18:00,830 W,368 W,280 W,182 W
1/9/2024 19:00,727 W,279 W,266 W,182 W
1/9/2024 20:00,797 W,339 W,275 W,183 W
1/9/2024 21:00,527 W,72 W,272 W,183 W
1/9/2024 22:00,596 W,110 W,303 W,183 W
1/9/2024 23:00,692 W,218 W,289 W,185 W
1/10/2024 0:00,989 W,368 W,435 W,186 W
1/10/2024 1:00,988 W,193 W,607 W,188 W
1/10/2024 2:00,606 W,82 W,336 W,188 W
1/10/2024 3:00,992 W,469 W,335 W,188 W
1/10/2024 4:00,813 W,323 W,302 W,188 W
1/10/2024 5:00,683 W,195 W,301 W,187 W
1/10/2024 6:00,766 W,299 W,285 W,182 W
1/10/2024 7:00,515 W,71 W,301 W,143 W
1/10/2024 8:00,959 W,595 W,253 W,111 W
1/10/2024 9:00,"1,184 W",782 W,297 W,105 W
1/10/2024 10:00,"1,610 W",429 W,294 W,887 W
1/10/2024 11:00,"2,256 W",171 W,"1,228 W",857 W
1/10/2024 12:00,"2,363 W",970 W,522 W,871 W
1/10/2024 13:00,"1,788 W",404 W,499 W,885 W
1/10/2024 14:00,"1,831 W",484 W,824 W,523 W
1/10/2024 15:00,"1,548 W",358 W,668 W,522 W
1/10/2024 16:00,"1,142 W",383 W,654 W,105 W
1/10/2024 17:00,"1,312 W",864 W,320 W,128 W
1/10/2024 18:00,"1,188 W",408 W,599 W,181 W
1/10/2024 19:00,"1,055 W",583 W,288 W,184 W
1/10/2024 20:00,787 W,312 W,293 W,182 W
1/10/2024 21:00,844 W,369 W,290 W,185 W
1/10/2024 22:00,816 W,340 W,291 W,185 W
1/10/2024 23:00,"1,266 W",677 W,403 W,186 W
1/11/2024 0:00,929 W,375 W,367 W,187 W
1/11/2024 1:00,"1,165 W",408 W,568 W,189 W
1/11/2024 2:00,"1,151 W",648 W,313 W,190 W
1/11/2024 3:00,918 W,385 W,344 W,189 W
1/11/2024 4:00,"1,317 W",807 W,320 W,190 W
1/11/2024 5:00,883 W,380 W,315 W,188 W
1/11/2024 6:00,964 W,465 W,314 W,185 W
