Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/7 2:00:00,"1,139 W",576 W,374 W,189 W
2024/1/7 3:00:00,916 W,354 W,373 W,189 W
2024/1/7 4:00:00,626 W,80 W,358 W,188 W
2024/1/7 5:00:00,812 W,230 W,395 W,187 W
2024/1/7 6:00:00,573 W,77 W,312 W,184 W
2024/1/7 7:00:00,"1,128 W",495 W,489 W,144 W
2024/1/7 8:00:00,448 W,72 W,264 W,112 W
2024/1/7 9:00:00,455 W,73 W,277 W,105 W
2024/1/7 10:00:00,"1,941 W",799 W,262 W,880 W
2024/1/7 11:00:00,"1,476 W",485 W,859 W,132 W
2024/1/7 12:00:00,901 W,220 W,566 W,115 W
2024/1/7 13:00:00,"2,093 W",563 W,"1,290 W",240 W
2024/1/7 14:00:00,"2,619 W",931 W,"1,435 W",253 W
2024/1/7 15:00:00,"2,701 W",813 W,"1,624 W",264 W
2024/1/7 16:00:00,893 W,491 W,297 W,105 W
2024/1/7 17:00:00,651 W,222 W,304 W,125 W
2024/1/7 18:00:00,565 W,71 W,312 W,182 W
2024/1/7 19:00:00,762 W,228 W,353 W,181 W
2024/1/7 20:00:00,520 W,63 W,273 W,184 W
2024/1/7 21:00:00,752 W,218 W,351 W,183 W
2024/1/7 22:00:00,663 W,186 W,294 W,183 W
2024/1/7 23:00:00,"1,052 W",504 W,365 W,183 W
2024/1/8 0:00:00,"1,006 W",309 W,512 W,185 W
2024/1/8 1:00:00,924 W,411 W,326 W,187 W
2024/1/8 2:00:00,835 W,315 W,333 W,187 W
2024/1/8 3:00:00,"1,006 W",367 W,452 W,187 W
2024/1/8 4:00:00,941 W,375 W,378 W,188 W
2024/1/8 5:00:00,732 W,201 W,344 W,187 W
2024/1/8 6:00:00,"1,001 W",470 W,348 W,183 W
2024/1/8 7:00:00,607 W,180 W,277 W,150 W
2024/1/8 8:00:00,930 W,407 W,412 W,111 W
2024/1/8 9:00:00,595 W,103 W,389 W,103 W
2024/1/8 10:00:00,467 W,106 W,259 W,102 W
2024/1/8 11:00:00,500 W,74 W,324 W,102 W
2024/1/8 12:00:00,"1,521 W",110 W,"1,307 W",104 W
2024/1/8 13:00:00,"1,688 W",346 W,"1,208 W",134 W
2024/1/8 14:00:00,756 W,251 W,376 W,129 W
2024/1/8 15:00:00,"1,716 W",965 W,620 W,131 W
2024/1/8 16:00:00,535 W,138 W,292 W,105 W
2024/1/8 17:00:00,"1,148 W",576 W,445 W,127 W
2024/1/8 18:00:00,705 W,168 W,356 W,181 W
2024/1/8 19:00:00,661 W,68 W,410 W,183 W
2024/1/8 20:00:00,687 W,245 W,259 W,183 W
2024/1/8 21:00:00,956 W,414 W,358 W,184 W
2024/1/8 22:00:00,672 W,112 W,376 W,184 W
2024/1/8 23:00:00,795 W,78 W,529 W,188 W
2024/1/9 0:00:00,615 W,113 W,314 W,188 W
2024/1/9 1:00:00,786 W,225 W,373 W,188 W
2024/1/9 2:00:00,821 W,341 W,292 W,188 W
2024/1/9 3:00:00,"1,162 W",510 W,464 W,188 W
2024/1/9 4:00:00,834 W,358 W,288 W,188 W
2024/1/9 5:00:00,758 W,213 W,357 W,188 W
2024/1/9 6:00:00,917 W,444 W,291 W,182 W
2024/1/9 7:00:00,618 W,175 W,292 W,151 W
2024/1/9 8:00:00,764 W,174 W,479 W,111 W
2024/1/9 9:00:00,686 W,168 W,415 W,103 W
2024/1/9 10:00:00,"1,330 W",488 W,480 W,362 W
2024/1/9 11:00:00,"1,219 W",148 W,692 W,379 W
2024/1/9 12:00:00,"1,327 W",298 W,685 W,344 W
2024/1/9 13:00:00,"2,520 W",500 W,"1,673 W",347 W
2024/1/9 14:00:00,"1,195 W",206 W,643 W,346 W
2024/1/9 15:00:00,524 W,118 W,302 W,104 W
2024/1/9 16:00:00,667 W,214 W,348 W,105 W
2024/1/9 17:00:00,671 W,217 W,323 W,131 W
2024/1/9 18:00:00,830 W,368 W,280 W,182 W
2024/1/9 19:00:00,727 W,279 W,266 W,182 W
2024/1/9 20:00:00,797 W,339 W,275 W,183 W
2024/1/9 21:00:00,527 W,72 W,272 W,183 W
2024/1/9 22:00:00,596 W,110 W,303 W,183 W
2024/1/9 23:00:00,692 W,218 W,289 W,185 W
2024/1/10 0:00:00,989 W,368 W,435 W,186 W
2024/1/10 1:00:00,988 W,193 W,607 W,188 W
2024/1/10 2:00:00,606 W,82 W,336 W,188 W
2024/1/10 3:00:00,992 W,469 W,335 W,188 W
2024/1/10 4:00:00,813 W,323 W,302 W,188 W
