Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/14 5:00:00,"2,304 W",353 W,325 W,"1,626 W"
2024/1/14 6:00:00,"2,046 W",339 W,300 W,"1,407 W"
2024/1/14 7:00:00,"2,682 W",275 W,223 W,"2,184 W"
2024/1/14 8:00:00,"5,563 W",510 W,806 W,"4,247 W"
2024/1/14 9:00:00,"6,610 W",260 W,"1,281 W","5,069 W"
2024/1/14 10:00:00,"6,658 W","1,243 W","1,223 W","4,192 W"
2024/1/14 11:00:00,"4,108 W",507 W,"1,259 W","2,342 W"
2024/1/14 12:00:00,"5,687 W",627 W,"1,415 W","3,645 W"
2024/1/14 13:00:00,"3,821 W",839 W,755 W,"2,227 W"
2024/1/14 14:00:00,"4,745 W",856 W,530 W,"3,359 W"
2024/1/14 15:00:00,"4,017 W",374 W,322 W,"3,321 W"
2024/1/14 16:00:00,"3,933 W",369 W,297 W,"3,267 W"
2024/1/14 17:00:00,"1,384 W",500 W,267 W,617 W
2024/1/14 18:00:00,"1,400 W",505 W,260 W,635 W
2024/1/14 19:00:00,"4,186 W",436 W,282 W,"3,468 W"
2024/1/14 20:00:00,"4,214 W",435 W,316 W,"3,463 W"
2024/1/14 21:00:00,"3,970 W",310 W,312 W,"3,348 W"
2024/1/14 22:00:00,"1,227 W",306 W,337 W,584 W
2024/1/14 23:00:00,"1,236 W",306 W,345 W,585 W
2024/1/15 0:00:00,"1,221 W",312 W,316 W,593 W
2024/1/15 1:00:00,"1,225 W",316 W,316 W,593 W
2024/1/15 2:00:00,"1,211 W",314 W,310 W,587 W
2024/1/15 3:00:00,"1,242 W",328 W,325 W,589 W
2024/1/15 4:00:00,"1,243 W",329 W,316 W,598 W
2024/1/15 5:00:00,"2,439 W",340 W,434 W,"1,665 W"
2024/1/15 6:00:00,"6,732 W",340 W,425 W,"5,967 W"
2024/1/15 7:00:00,"5,323 W",291 W,284 W,"4,748 W"
2024/1/15 8:00:00,"5,337 W",292 W,280 W,"4,765 W"
2024/1/15 9:00:00,"5,259 W",292 W,276 W,"4,691 W"
2024/1/15 10:00:00,"3,818 W",291 W,296 W,"3,231 W"
2024/1/15 11:00:00,"5,316 W",296 W,297 W,"4,723 W"
2024/1/15 12:00:00,"5,325 W",298 W,311 W,"4,716 W"
2024/1/15 13:00:00,"5,295 W",302 W,286 W,"4,707 W"
2024/1/15 14:00:00,"5,294 W",299 W,285 W,"4,710 W"
2024/1/15 15:00:00,"5,290 W",293 W,284 W,"4,713 W"
2024/1/15 16:00:00,"1,096 W",290 W,309 W,497 W
2024/1/15 17:00:00,"1,110 W",289 W,324 W,497 W
2024/1/15 18:00:00,"1,442 W",383 W,313 W,746 W
2024/1/15 19:00:00,"3,706 W",403 W,279 W,"3,024 W"
2024/1/15 20:00:00,"3,555 W",304 W,274 W,"2,977 W"
2024/1/15 21:00:00,"1,154 W",295 W,279 W,580 W
2024/1/15 22:00:00,"1,230 W",301 W,343 W,586 W
2024/1/15 23:00:00,"1,247 W",308 W,351 W,588 W
2024/1/16 0:00:00,"1,219 W",311 W,318 W,590 W
2024/1/16 1:00:00,"1,253 W",315 W,331 W,607 W
2024/1/16 2:00:00,"1,282 W",325 W,328 W,629 W
2024/1/16 3:00:00,"1,293 W",327 W,338 W,628 W
2024/1/16 4:00:00,"1,338 W",346 W,365 W,627 W
2024/1/16 5:00:00,"2,474 W",344 W,421 W,"1,709 W"
2024/1/16 6:00:00,"4,225 W",320 W,396 W,"3,509 W"
2024/1/16 7:00:00,"2,994 W",293 W,374 W,"2,327 W"
2024/1/16 8:00:00,"6,473 W",288 W,568 W,"5,617 W"
2024/1/16 9:00:00,"3,066 W","1,169 W",462 W,"1,435 W"
2024/1/16 10:00:00,"6,275 W",702 W,"1,364 W","4,209 W"
2024/1/16 11:00:00,"6,623 W",844 W,"1,614 W","4,165 W"
2024/1/16 12:00:00,"6,562 W",843 W,"1,582 W","4,137 W"
2024/1/16 14:00:00,"5,045 W",913 W,799 W,"3,333 W"
2024/1/16 15:00:00,"4,027 W",916 W,699 W,"2,412 W"
2024/1/16 16:00:00,"4,071 W",479 W,420 W,"3,172 W"
2024/1/16 17:00:00,"4,602 W",477 W,287 W,"3,838 W"
2024/1/16 18:00:00,"4,712 W",367 W,282 W,"4,063 W"
2024/1/16 19:00:00,"4,742 W",384 W,301 W,"4,057 W"
2024/1/16 20:00:00,"1,372 W",391 W,277 W,704 W
2024/1/16 21:00:00,"1,262 W",385 W,301 W,576 W
2024/1/16 22:00:00,"1,290 W",385 W,328 W,577 W
2024/1/16 23:00:00,"1,281 W",397 W,302 W,582 W
2024/1/17 0:00:00,"1,299 W",406 W,309 W,584 W
2024/1/17 1:00:00,"1,309 W",409 W,312 W,588 W
2024/1/17 2:00:00,"1,321 W",403 W,331 W,587 W
2024/1/17 3:00:00,"1,346 W",404 W,348 W,594 W
2024/1/17 4:00:00,"1,303 W",407 W,306 W,590 W
2024/1/17 5:00:00,"1,299 W",403 W,311 W,585 W
2024/1/17 6:00:00,"2,424 W",406 W,410 W,"1,608 W"
2024/1/17 7:00:00,"2,911 W",356 W,320 W,"2,235 W"
2024/1/17 8:00:00,"5,685 W",713 W,663 W,"4,309 W"
2024/1/17 9:00:00,"5,262 W",527 W,451 W,"4,284 W"
2024/1/17 10:00:00,"3,778 W",579 W,723 W,"2,476 W"
2024/1/17 11:00:00,"3,540 W",714 W,443 W,"2,383 W"
2024/1/17 12:00:00,"4,112 W",809 W,"1,294 W","2,009 W"
2024/1/17 13:00:00,"5,934 W",584 W,278 W,"5,072 W"
2024/1/17 14:00:00,"4,628 W",566 W,249 W,"3,813 W"
2024/1/17 15:00:00,"3,455 W",556 W,207 W,"2,692 W"
