Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/11 20:00:00,171 W,2 W,163 W,6 W
2024/1/11 21:00:00,174 W,3 W,164 W,7 W
2024/1/11 22:00:00,180 W,2 W,171 W,7 W
2024/1/11 23:00:00,181 W,2 W,173 W,6 W
2024/1/12 0:00:00,"1,248 W",3 W,175 W,"1,070 W"
2024/1/12 1:00:00,186 W,3 W,177 W,6 W
2024/1/12 2:00:00,213 W,3 W,178 W,32 W
2024/1/12 3:00:00,"1,326 W",3 W,177 W,"1,146 W"
2024/1/12 4:00:00,189 W,3 W,179 W,7 W
2024/1/12 5:00:00,184 W,3 W,175 W,6 W
2024/1/12 6:00:00,117 W,2 W,109 W,6 W
2024/1/12 7:00:00,99 W,2 W,92 W,5 W
2024/1/12 8:00:00,73 W,2 W,66 W,5 W
2024/1/12 9:00:00,72 W,2 W,65 W,5 W
2024/1/12 10:00:00,74 W,2 W,67 W,5 W
2024/1/12 11:00:00,100 W,2 W,67 W,31 W
2024/1/12 12:00:00,"1,085 W",2 W,70 W,"1,013 W"
2024/1/12 13:00:00,109 W,2 W,73 W,34 W
2024/1/12 14:00:00,110 W,2 W,69 W,39 W
2024/1/12 15:00:00,79 W,2 W,71 W,6 W
2024/1/12 16:00:00,80 W,2 W,72 W,6 W
2024/1/12 17:00:00,77 W,2 W,70 W,5 W
2024/1/12 18:00:00,166 W,2 W,158 W,6 W
2024/1/12 19:00:00,202 W,2 W,166 W,34 W
2024/1/12 20:00:00,169 W,2 W,161 W,6 W
2024/1/12 21:00:00,"1,141 W",2 W,183 W,956 W
2024/1/12 22:00:00,198 W,2 W,189 W,7 W
2024/1/12 23:00:00,198 W,2 W,190 W,6 W
2024/1/13 0:00:00,"1,277 W",3 W,192 W,"1,082 W"
2024/1/13 1:00:00,201 W,3 W,192 W,6 W
2024/1/13 2:00:00,201 W,3 W,192 W,6 W
2024/1/13 3:00:00,225 W,3 W,192 W,30 W
2024/1/13 4:00:00,229 W,3 W,192 W,34 W
2024/1/13 5:00:00,119 W,3 W,110 W,6 W
2024/1/13 6:00:00,115 W,2 W,108 W,5 W
2024/1/13 7:00:00,97 W,2 W,90 W,5 W
2024/1/13 8:00:00,994 W,2 W,70 W,922 W
2024/1/13 9:00:00,105 W,2 W,70 W,33 W
2024/1/13 10:00:00,79 W,2 W,71 W,6 W
2024/1/13 11:00:00,79 W,2 W,72 W,5 W
2024/1/13 12:00:00,"1,093 W",2 W,70 W,"1,021 W"
2024/1/13 13:00:00,80 W,2 W,72 W,6 W
2024/1/13 14:00:00,80 W,2 W,72 W,6 W
2024/1/13 15:00:00,89 W,1 W,82 W,6 W
2024/1/13 16:00:00,"1,091 W",2 W,73 W,"1,016 W"
2024/1/13 17:00:00,81 W,2 W,73 W,6 W
2024/1/13 18:00:00,198 W,1 W,191 W,6 W
2024/1/13 19:00:00,"1,149 W",2 W,193 W,954 W
2024/1/13 20:00:00,205 W,2 W,197 W,6 W
2024/1/13 21:00:00,210 W,2 W,201 W,7 W
2024/1/13 22:00:00,"1,278 W",2 W,199 W,"1,077 W"
2024/1/13 23:00:00,211 W,3 W,202 W,6 W
2024/1/14 0:00:00,239 W,3 W,204 W,32 W
2024/1/14 1:00:00,243 W,3 W,206 W,34 W
2024/1/14 2:00:00,215 W,3 W,206 W,6 W
2024/1/14 3:00:00,"1,319 W",3 W,204 W,"1,112 W"
2024/1/14 4:00:00,244 W,2 W,208 W,34 W
2024/1/14 5:00:00,215 W,3 W,206 W,6 W
2024/1/14 6:00:00,"1,141 W",3 W,105 W,"1,033 W"
2024/1/14 7:00:00,123 W,2 W,90 W,31 W
2024/1/14 8:00:00,100 W,2 W,65 W,33 W
2024/1/14 9:00:00,"1,109 W",55 W,65 W,989 W
2024/1/14 10:00:00,247 W,22 W,63 W,162 W
2024/1/14 11:00:00,481 W,22 W,103 W,356 W
2024/1/14 12:00:00,442 W,20 W,66 W,356 W
2024/1/14 13:00:00,"1,532 W",48 W,89 W,"1,395 W"
2024/1/14 14:00:00,581 W,23 W,66 W,492 W
2024/1/14 15:00:00,477 W,22 W,122 W,333 W
2024/1/14 16:00:00,103 W,2 W,71 W,30 W
2024/1/14 17:00:00,229 W,2 W,193 W,34 W
2024/1/14 18:00:00,196 W,2 W,189 W,5 W
2024/1/14 19:00:00,237 W,2 W,230 W,5 W
2024/1/14 20:00:00,234 W,2 W,226 W,6 W
2024/1/14 21:00:00,233 W,2 W,225 W,6 W
2024/1/14 22:00:00,240 W,2 W,233 W,5 W
2024/1/14 23:00:00,239 W,2 W,232 W,5 W
2024/1/15 0:00:00,271 W,3 W,236 W,32 W
2024/1/15 1:00:00,275 W,3 W,238 W,34 W
2024/1/15 2:00:00,"1,276 W",3 W,237 W,"1,036 W"
2024/1/15 3:00:00,249 W,3 W,240 W,6 W
2024/1/15 4:00:00,249 W,3 W,239 W,7 W
2024/1/15 5:00:00,246 W,3 W,238 W,5 W
2024/1/15 6:00:00,244 W,2 W,237 W,5 W
2024/1/15 7:00:00,99 W,2 W,92 W,5 W
2024/1/15 8:00:00,985 W,2 W,71 W,912 W
2024/1/15 9:00:00,112 W,2 W,72 W,38 W
2024/1/15 10:00:00,78 W,3 W,69 W,6 W
2024/1/15 11:00:00,"1,069 W",2 W,70 W,997 W
2024/1/15 12:00:00,79 W,2 W,72 W,5 W
2024/1/15 13:00:00,79 W,2 W,72 W,5 W
2024/1/15 14:00:00,79 W,2 W,72 W,5 W
2024/1/15 15:00:00,80 W,2 W,72 W,6 W
2024/1/15 16:00:00,104 W,2 W,71 W,31 W
2024/1/15 17:00:00,108 W,2 W,74 W,32 W
2024/1/15 18:00:00,"1,109 W",2 W,99 W,"1,008 W"
2024/1/15 19:00:00,175 W,1 W,168 W,6 W
2024/1/15 20:00:00,175 W,2 W,166 W,7 W
2024/1/15 21:00:00,174 W,2 W,166 W,6 W
2024/1/15 22:00:00,"1,227 W",2 W,171 W,"1,054 W"
2024/1/15 23:00:00,182 W,2 W,174 W,6 W
2024/1/16 0:00:00,185 W,2 W,177 W,6 W
2024/1/16 1:00:00,"1,242 W",3 W,176 W,"1,063 W"
2024/1/16 2:00:00,186 W,3 W,177 W,6 W
2024/1/16 3:00:00,187 W,3 W,178 W,6 W
2024/1/16 4:00:00,"1,251 W",3 W,176 W,"1,072 W"
2024/1/16 5:00:00,184 W,2 W,177 W,5 W
2024/1/16 6:00:00,149 W,2 W,112 W,35 W
2024/1/16 7:00:00,"1,088 W",3 W,93 W,992 W
2024/1/16 8:00:00,74 W,2 W,66 W,6 W
2024/1/16 9:00:00,71 W,2 W,64 W,5 W
2024/1/16 10:00:00,"1,123 W",52 W,65 W,"1,006 W"
2024/1/16 11:00:00,165 W,40 W,66 W,59 W
2024/1/16 12:00:00,320 W,56 W,67 W,197 W
2024/1/16 13:00:00,356 W,47 W,112 W,197 W
2024/1/16 14:00:00,398 W,2 W,168 W,228 W
2024/1/16 15:00:00,342 W,2 W,282 W,58 W
2024/1/16 16:00:00,78 W,2 W,71 W,5 W
2024/1/16 17:00:00,79 W,2 W,71 W,6 W
2024/1/16 18:00:00,192 W,2 W,160 W,30 W
2024/1/16 19:00:00,"1,130 W",2 W,160 W,968 W
2024/1/16 20:00:00,197 W,2 W,162 W,33 W
2024/1/16 21:00:00,203 W,2 W,166 W,35 W
2024/1/16 22:00:00,180 W,2 W,172 W,6 W
2024/1/16 23:00:00,182 W,2 W,174 W,6 W
2024/1/17 0:00:00,"1,219 W",3 W,173 W,"1,043 W"
2024/1/17 1:00:00,186 W,3 W,178 W,5 W
2024/1/17 2:00:00,184 W,2 W,177 W,5 W
2024/1/17 3:00:00,186 W,2 W,178 W,6 W
2024/1/17 4:00:00,219 W,2 W,178 W,39 W
2024/1/17 5:00:00,185 W,3 W,176 W,6 W
2024/1/17 6:00:00,182 W,2 W,175 W,5 W
2024/1/17 7:00:00,"1,075 W",3 W,91 W,981 W
2024/1/17 8:00:00,75 W,2 W,68 W,5 W
2024/1/17 9:00:00,73 W,2 W,66 W,5 W
2024/1/17 10:00:00,607 W,81 W,346 W,180 W
2024/1/17 11:00:00,"1,414 W",37 W,280 W,"1,097 W"
2024/1/17 12:00:00,447 W,38 W,184 W,225 W
2024/1/17 13:00:00,913 W,36 W,482 W,395 W
2024/1/17 14:00:00,"1,245 W",38 W,283 W,924 W
2024/1/17 15:00:00,648 W,42 W,565 W,41 W
2024/1/17 16:00:00,107 W,35 W,67 W,5 W
2024/1/17 17:00:00,110 W,36 W,69 W,5 W
2024/1/17 18:00:00,135 W,35 W,94 W,6 W
2024/1/17 19:00:00,203 W,34 W,163 W,6 W
2024/1/17 20:00:00,205 W,35 W,164 W,6 W
2024/1/17 21:00:00,"1,198 W",36 W,161 W,"1,001 W"
2024/1/17 22:00:00,209 W,37 W,166 W,6 W
2024/1/17 23:00:00,237 W,37 W,170 W,30 W
2024/1/18 0:00:00,243 W,38 W,174 W,31 W
2024/1/18 1:00:00,253 W,38 W,178 W,37 W
2024/1/18 2:00:00,257 W,46 W,178 W,33 W
2024/1/18 3:00:00,223 W,39 W,177 W,7 W
2024/1/18 4:00:00,224 W,39 W,179 W,6 W
2024/1/18 5:00:00,"1,254 W",38 W,175 W,"1,041 W"
2024/1/18 6:00:00,147 W,38 W,104 W,5 W
2024/1/18 7:00:00,133 W,36 W,91 W,6 W
2024/1/18 8:00:00,"1,010 W",35 W,78 W,897 W
2024/1/18 9:00:00,329 W,53 W,129 W,147 W
2024/1/18 10:00:00,659 W,44 W,354 W,261 W
2024/1/18 11:00:00,"2,417 W",826 W,393 W,"1,198 W"
2024/1/18 12:00:00,"1,556 W",789 W,306 W,461 W
2024/1/18 13:00:00,865 W,54 W,374 W,437 W
2024/1/18 14:00:00,"1,332 W",784 W,94 W,454 W
2024/1/18 15:00:00,620 W,37 W,215 W,368 W
2024/1/18 16:00:00,998 W,1 W,82 W,915 W
2024/1/18 17:00:00,114 W,1 W,84 W,29 W
2024/1/18 18:00:00,184 W,1 W,177 W,6 W
2024/1/18 19:00:00,"1,078 W",2 W,170 W,906 W
2024/1/18 20:00:00,180 W,1 W,173 W,6 W
2024/1/18 21:00:00,184 W,1 W,176 W,7 W
2024/1/18 22:00:00,188 W,1 W,180 W,7 W
2024/1/18 23:00:00,194 W,1 W,187 W,6 W
2024/1/19 0:00:00,222 W,2 W,186 W,34 W
2024/1/19 1:00:00,385 W,2 W,189 W,194 W
2024/1/19 2:00:00,"1,262 W",2 W,192 W,"1,068 W"
2024/1/19 3:00:00,222 W,2 W,189 W,31 W
2024/1/19 4:00:00,224 W,2 W,189 W,33 W
2024/1/19 5:00:00,"1,237 W",2 W,192 W,"1,043 W"
2024/1/19 6:00:00,129 W,1 W,122 W,6 W
2024/1/19 7:00:00,127 W,0 W,120 W,7 W
2024/1/19 8:00:00,"1,048 W",1 W,80 W,967 W
2024/1/19 9:00:00,82 W,2 W,74 W,6 W
2024/1/19 10:00:00,346 W,46 W,120 W,180 W
2024/1/19 11:00:00,372 W,36 W,133 W,203 W
2024/1/19 12:00:00,709 W,106 W,379 W,224 W
2024/1/19 13:00:00,"1,507 W",38 W,340 W,"1,129 W"
