,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,834.0,694.0,1561.0,990.0,2081.0,818.0,739.0,839.0,614.0,739.0,1819.0,2699.0,3524.0,2672.0,2280.0,821.0,741.0,776.0,1260.0,973.0,929.0,1812.0,715.0,959.0
1,732.0,1226.0,593.0,1148.0,655.0,667.0,826.0,843.0,568.0,631.0,552.0,753.0,478.0,827.0,611.0,1853.0,607.0,621.0,873.0,1044.0,647.0,759.0,949.0,826.0
2,914.0,672.0,1139.0,916.0,626.0,812.0,573.0,1128.0,448.0,455.0,1941.0,1476.0,901.0,2093.0,2619.0,1009.0,785.0,1144.0,921.0,849.0,1336.0,969.0,651.0,826.0
3,1006.0,924.0,835.0,1006.0,941.0,732.0,1001.0,607.0,930.0,595.0,467.0,500.0,1521.0,1688.0,756.0,2701.0,893.0,651.0,565.0,762.0,520.0,752.0,663.0,1052.0
4,615.0,786.0,821.0,1162.0,834.0,758.0,917.0,618.0,764.0,686.0,1330.0,1219.0,1327.0,2520.0,1195.0,1716.0,535.0,1148.0,705.0,661.0,687.0,956.0,672.0,795.0
5,989.0,988.0,606.0,992.0,813.0,683.0,766.0,515.0,959.0,1184.0,1610.0,2256.0,2363.0,1788.0,1831.0,524.0,667.0,671.0,830.0,727.0,797.0,527.0,596.0,692.0
6,929.0,1165.0,1151.0,918.0,1317.0,883.0,964.0,1266.0,945.0,1481.0,763.0,2130.0,1975.0,1120.0,1107.0,1548.0,1142.0,1312.0,1188.0,1055.0,787.0,844.0,816.0,1266.0
7,833.0,1147.0,748.0,783.0,948.0,829.0,1123.0,758.0,704.0,559.0,816.0,581.0,730.0,610.0,603.0,1151.0,765.0,1433.0,1345.0,1027.0,841.0,960.0,1067.0,840.0
8,935.0,1613.0,971.0,903.0,966.0,852.0,1065.0,659.0,815.0,709.0,1257.0,731.0,1927.0,743.0,626.0,892.0,589.0,866.0,1039.0,694.0,858.0,727.0,759.0,863.0
9,669.0,709.0,813.0,1036.0,1260.0,1023.0,1122.0,711.0,757.0,673.0,2764.0,2231.0,1408.0,2089.0,1964.0,1976.0,973.0,1551.0,808.0,809.0,637.0,651.0,748.0,662.0
10,1017.0,971.0,908.0,765.0,827.0,840.0,716.0,1149.0,834.0,737.0,900.0,872.0,1062.0,864.0,1027.0,1942.0,994.0,883.0,777.0,813.0,1133.0,996.0,1600.0,857.0
11,784.0,761.0,1795.0,779.0,1146.0,1082.0,1100.0,793.0,815.0,933.0,1427.0,1261.0,1290.0,2715.0,1715.0,665.0,727.0,951.0,903.0,918.0,721.0,795.0,772.0,875.0
12,1000.0,1212.0,1034.0,916.0,918.0,1027.0,897.0,781.0,873.0,1363.0,3357.0,2953.0,2233.0,3093.0,2857.0,1375.0,971.0,941.0,810.0,783.0,763.0,822.0,825.0,847.0
13,856.0,1137.0,1039.0,941.0,797.0,717.0,834.0,946.0,1479.0,1245.0,2739.0,2794.0,2136.0,1942.0,994.0,2082.0,711.0,741.0,906.0,973.0,1236.0,887.0,799.0,856.0
14,700.0,887.0,861.0,1060.0,840.0,1105.0,851.0,860.0,654.0,773.0,3386.0,2914.0,1299.0,1421.0,1878.0,1116.0,673.0,646.0,733.0,1027.0,883.0,795.0,707.0,1082.0
15,706.0,532.0,823.0,664.0,683.0,911.0,648.0,769.0,556.0,941.0,759.0,780.0,542.0,878.0,635.0,2789.0,1088.0,527.0,764.0,881.0,772.0,1025.0,1107.0,777.0
16,544.0,755.0,850.0,567.0,730.0,1111.0,627.0,586.0,748.0,664.0,1814.0,773.0,1444.0,1400.0,1261.0,764.0,518.0,865.0,724.0,738.0,525.0,560.0,636.0,679.0
17,872.0,708.0,973.0,786.0,683.0,519.0,538.0,788.0,410.0,1275.0,2321.0,1982.0,1593.0,4343.0,2671.0,1658.0,656.0,585.0,914.0,598.0,708.0,927.0,832.0,631.0
18,772.0,835.0,656.0,666.0,1005.0,697.0,1201.0,681.0,435.0,1280.0,1035.0,1882.0,1855.0,1146.0,1147.0,1475.0,636.0,660.0,913.0,820.0,686.0,965.0,783.0,730.0
19,544.0,693.0,1010.0,608.0,829.0,642.0,825.0,576.0,643.0,4692.0,1977.0,2273.0,1131.0,3042.0,2130.0,1394.0,521.0,681.0,847.0,541.0,702.0,626.0,738.0,593.0
20,780.0,546.0,804.0,764.0,752.0,1081.0,642.0,831.0,763.0,1222.0,1456.0,2557.0,2381.0,1332.0,2134.0,1934.0,811.0,1102.0,807.0,657.0,717.0,550.0,645.0,1100.0
21,674.0,1047.0,717.0,996.0,789.0,934.0,804.0,1016.0,547.0,1325.0,2813.0,1977.0,3950.0,2242.0,1780.0,1682.0,563.0,725.0,751.0,658.0,596.0,867.0,696.0,844.0
22,776.0,675.0,558.0,663.0,764.0,695.0,1171.0,485.0,1081.0,571.0,533.0,654.0,902.0,804.0,802.0,1527.0,991.0,854.0,741.0,663.0,618.0,702.0,661.0,787.0
23,502.0,789.0,702.0,531.0,560.0,787.0,774.0,745.0,414.0,415.0,528.0,1276.0,767.0,505.0,604.0,894.0,1547.0,1195.0,822.0,680.0,482.0,814.0,531.0,626.0
24,797.0,682.0,844.0,972.0,610.0,855.0,539.0,516.0,549.0,1277.0,2303.0,1079.0,990.0,1078.0,1029.0,561.0,570.0,768.0,679.0,719.0,623.0,535.0,1188.0,757.0
25,821.0,656.0,582.0,759.0,680.0,550.0,677.0,1235.0,481.0,634.0,2219.0,1146.0,2434.0,448.0,874.0,1337.0,479.0,622.0,749.0,672.0,744.0,520.0,635.0,600.0
26,1042.0,979.0,1095.0,1092.0,978.0,958.0,950.0,655.0,609.0,1126.0,2441.0,4768.0,4888.0,1060.0,833.0,632.0,1681.0,912.0,885.0,1008.0,971.0,908.0,992.0,1000.0
27,1283.0,563.0,621.0,713.0,680.0,522.0,723.0,593.0,680.0,1259.0,2182.0,881.0,628.0,724.0,519.0,975.0,638.0,748.0,625.0,597.0,614.0,853.0,781.0,895.0
